index,Region/Country/Area,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Employment by industry: Agriculture (%) Male and Female,35.24,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2005,Employment by industry: Industry (%) Male and Female,22.62,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2005,Employment by industry: Services (%) Male and Female,42.14,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2005,Employment by industry: Agriculture (%) Male,34.04,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2005,Employment by industry: Industry (%) Male,25.46,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2005,Employment by industry: Services (%) Male,40.5,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2005,Employment by industry: Agriculture (%) Female,37.06,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2005,Employment by industry: Industry (%) Female,18.29,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2005,Employment by industry: Services (%) Female,44.65,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2010,Employment by industry: Agriculture (%) Male and Female,30.8,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2010,Employment by industry: Industry (%) Male and Female,22.98,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2010,Employment by industry: Services (%) Male and Female,46.23,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2010,Employment by industry: Agriculture (%) Male,30.15,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2010,Employment by industry: Industry (%) Male,26.77,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2010,Employment by industry: Services (%) Male,43.08,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2010,Employment by industry: Agriculture (%) Female,31.8,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2010,Employment by industry: Industry (%) Female,17.09,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2010,Employment by industry: Services (%) Female,51.11,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2015,Employment by industry: Agriculture (%) Male and Female,27.22,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2015,Employment by industry: Industry (%) Male and Female,22.69,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2015,Employment by industry: Services (%) Male and Female,50.08,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2015,Employment by industry: Agriculture (%) Male,26.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2015,Employment by industry: Industry (%) Male,27.16,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2015,Employment by industry: Services (%) Male,46.14,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2015,Employment by industry: Agriculture (%) Female,28.04,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2015,Employment by industry: Industry (%) Female,15.74,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2015,Employment by industry: Services (%) Female,56.23,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
